test_case,filter_size,method_name,total_time,cumulative_time,per_call_time
bloom,100,add,2.3260000000000003e-06,1.6545e-05,1.6545e-05
bloom,100,add,2.532e-06,1.6339e-05,1.6339e-05
bloom,100,add,2.2920000000000002e-06,1.6138e-05,1.6138e-05
bloom,100,add,2.464e-06,1.6905e-05,1.6905e-05
bloom,100,add,2.307e-06,1.7527e-05,1.7527e-05
bloom,100,add,2.418e-06,1.6954e-05,1.6954e-05
bloom,100,add,2.358e-06,1.6323e-05,1.6323e-05
bloom,100,add,2.3480000000000002e-06,1.6577e-05,1.6577e-05
bloom,100,add,2.277e-06,1.6441e-05,1.6441e-05
bloom,100,add,2.481e-06,1.6225e-05,1.6225e-05
bloom,100,add,2.35e-06,1.664e-05,1.664e-05
bloom,100,add,2.094e-06,1.671e-05,1.671e-05
bloom,100,add,2.3480000000000002e-06,1.6879000000000002e-05,1.6879000000000002e-05
bloom,100,add,2.2310000000000003e-06,1.5863e-05,1.5863e-05
bloom,100,add,2.566e-06,1.7028e-05,1.7028e-05
bloom,100,add,2.205e-06,1.6576000000000002e-05,1.6576000000000002e-05
bloom,100,add,2.545e-06,1.7344000000000002e-05,1.7344000000000002e-05
bloom,100,add,2.373e-06,1.6573000000000002e-05,1.6573000000000002e-05
bloom,100,add,2.3550000000000003e-06,1.6992000000000003e-05,1.6992000000000003e-05
bloom,100,add,2.2920000000000002e-06,1.6764e-05,1.6764e-05
bloom,100,add,2.288e-06,1.6451000000000002e-05,1.6451000000000002e-05
bloom,100,add,2.454e-06,1.66e-05,1.66e-05
bloom,100,contains,1.667e-06,1.2959e-05,1.2959e-05
bloom,100,contains,1.3860000000000002e-06,5.996000000000001e-06,5.996000000000001e-06
bloom,100,contains,1.2030000000000002e-06,1.2708000000000001e-05,1.2708000000000001e-05
bloom,100,contains,9.85e-07,1.0181000000000001e-05,1.0181000000000001e-05
bloom,100,contains,8.340000000000001e-07,4.7880000000000006e-06,4.7880000000000006e-06
bloom,100,contains,8.920000000000001e-07,7.381e-06,7.381e-06
bloom,100,contains,7.73e-07,7.182000000000001e-06,7.182000000000001e-06
bloom,100,contains,7.620000000000001e-07,7.2220000000000005e-06,7.2220000000000005e-06
bloom,100,contains,7.63e-07,4.773000000000001e-06,4.773000000000001e-06
bloom,100,contains,8.18e-07,9.329e-06,9.329e-06
bloom,100,contains,7.94e-07,9.483e-06,9.483e-06
bloom,100,contains,7.56e-07,4.948e-06,4.948e-06
bloom,100,contains,7.480000000000001e-07,4.577e-06,4.577e-06
bloom,100,contains,7.71e-07,7.111e-06,7.111e-06
bloom,100,contains,7.410000000000001e-07,4.743e-06,4.743e-06
bloom,100,contains,8.57e-07,7.670000000000001e-06,7.670000000000001e-06
bloom,100,contains,7.590000000000001e-07,4.672e-06,4.672e-06
bloom,100,contains,7.46e-07,7.095000000000001e-06,7.095000000000001e-06
bloom,100,contains,7.46e-07,7.033e-06,7.033e-06
bloom,100,contains,4.5550000000000004e-06,1.0626000000000001e-05,1.0626000000000001e-05
bloom,100,contains,7.88e-07,4.544e-06,4.544e-06
bloom,100,contains,7.43e-07,4.492e-06,4.492e-06
bloom,100,contains,8.67e-07,1.3959000000000001e-05,1.3959000000000001e-05
bloom,100,contains,8.12e-07,1.3959000000000001e-05,1.3959000000000001e-05
bloom,100,contains,8.890000000000001e-07,4.777e-06,4.777e-06
bloom,100,contains,7.98e-07,4.9560000000000005e-06,4.9560000000000005e-06
bloom,100,contains,7.990000000000001e-07,1.2029000000000001e-05,1.2029000000000001e-05
bloom,100,contains,7.240000000000001e-07,7.511000000000001e-06,7.511000000000001e-06
bloom,100,contains,7.760000000000001e-07,4.52e-06,4.52e-06
bloom,100,contains,8.25e-07,9.464000000000001e-06,9.464000000000001e-06
bloom,100,contains,7.040000000000001e-07,4.554e-06,4.554e-06
bloom,100,contains,6.970000000000001e-07,4.615000000000001e-06,4.615000000000001e-06
bloom,100,contains,7.620000000000001e-07,6.9180000000000005e-06,6.9180000000000005e-06
bloom,100,contains,8.26e-07,4.791e-06,4.791e-06
bloom,100,contains,7.3e-07,6.921e-06,6.921e-06
bloom,100,contains,8.410000000000001e-07,4.935e-06,4.935e-06
bloom,100,contains,7.56e-07,7.373e-06,7.373e-06
bloom,100,contains,7.64e-07,1.4596e-05,1.4596e-05
bloom,100,contains,8.22e-07,1.2034e-05,1.2034e-05
bloom,100,contains,8.060000000000001e-07,5.101e-06,5.101e-06
bloom,100,contains,7.550000000000001e-07,4.848e-06,4.848e-06
bloom,100,contains,8.63e-07,7.1150000000000005e-06,7.1150000000000005e-06
bloom,100,contains,6.84e-07,7.3510000000000004e-06,7.3510000000000004e-06
bloom,100,contains,7.09e-07,9.478000000000001e-06,9.478000000000001e-06
bloom,100,contains,7.81e-07,5.016e-06,5.016e-06
bloom,100,contains,8.210000000000001e-07,4.741e-06,4.741e-06
bloom,100,contains,8.73e-07,4.946000000000001e-06,4.946000000000001e-06
bloom,100,contains,8.230000000000001e-07,7.2850000000000006e-06,7.2850000000000006e-06
bloom,100,contains,7.67e-07,4.722000000000001e-06,4.722000000000001e-06
bloom,100,contains,7.550000000000001e-07,6.939000000000001e-06,6.939000000000001e-06
bloom,100,contains,7.590000000000001e-07,5.0680000000000004e-06,5.0680000000000004e-06
bloom,100,contains,7.12e-07,4.305e-06,4.305e-06
bloom,100,contains,8.39e-07,7.215e-06,7.215e-06
bloom,100,contains,8.18e-07,7.241000000000001e-06,7.241000000000001e-06
bloom,100,contains,6.6e-07,4.466e-06,4.466e-06
bloom,100,contains,7.820000000000001e-07,7.173000000000001e-06,7.173000000000001e-06
bloom,100,contains,7.54e-07,9.208e-06,9.208e-06
bloom,100,contains,7.73e-07,7.145e-06,7.145e-06
bloom,100,contains,7.5e-07,6.784000000000001e-06,6.784000000000001e-06
bloom,100,contains,7.22e-07,1.9544e-05,1.9544e-05
bloom,100,contains,8.32e-07,1.1738e-05,1.1738e-05
bloom,100,contains,8.170000000000001e-07,7.141000000000001e-06,7.141000000000001e-06
bloom,100,contains,7.820000000000001e-07,1.2319e-05,1.2319e-05
bloom,100,contains,7.760000000000001e-07,9.429e-06,9.429e-06
bloom,100,contains,7.77e-07,1.1851e-05,1.1851e-05
bloom,100,contains,7.87e-07,1.6225e-05,1.6225e-05
bloom,100,contains,8.32e-07,4.7420000000000005e-06,4.7420000000000005e-06
bloom,100,contains,8.18e-07,7.463e-06,7.463e-06
bloom,100,contains,7.6e-07,9.834000000000001e-06,9.834000000000001e-06
bloom,100,contains,7.380000000000001e-07,1.1104e-05,1.1104e-05
bloom,100,contains,8.12e-07,4.676000000000001e-06,4.676000000000001e-06
bloom,100,contains,8.540000000000001e-07,4.796e-06,4.796e-06
bloom,100,contains,7.720000000000001e-07,4.761000000000001e-06,4.761000000000001e-06
bloom,100,contains,7.77e-07,4.801e-06,4.801e-06
bloom,100,contains,8.230000000000001e-07,4.765e-06,4.765e-06
bloom,100,contains,8.130000000000001e-07,4.576e-06,4.576e-06
bloom,100,contains,8.580000000000001e-07,5.052e-06,5.052e-06
bloom,100,contains,8.830000000000001e-07,4.981e-06,4.981e-06
bloom,100,contains,7.84e-07,9.545000000000001e-06,9.545000000000001e-06
bloom,100,contains,9.7e-07,9.642e-06,9.642e-06
bloom,100,contains,8.070000000000001e-07,4.689e-06,4.689e-06
bloom,100,contains,8.340000000000001e-07,4.534e-06,4.534e-06
bloom,100,contains,8.6e-07,4.718e-06,4.718e-06
bloom,100,contains,7.56e-07,9.509e-06,9.509e-06
bloom,100,contains,7.860000000000001e-07,4.483e-06,4.483e-06
bloom,100,contains,7.960000000000001e-07,7.168000000000001e-06,7.168000000000001e-06
bloom,100,contains,8.81e-07,5.338e-06,5.338e-06
bloom,100,contains,8.890000000000001e-07,1.235e-05,1.235e-05
bloom,100,contains,2.1947000000000002e-05,3.4767e-05,3.4767e-05
bloom,100,contains,9.05e-07,5.197e-06,5.197e-06
bloom,100,contains,8.18e-07,9.578e-06,9.578e-06
bloom,100,contains,9.64e-07,7.221000000000001e-06,7.221000000000001e-06
bloom,100,contains,8.8e-07,7.2170000000000005e-06,7.2170000000000005e-06
bloom,100,contains,7.74e-07,6.856e-06,6.856e-06
bloom,100,contains,7.830000000000001e-07,1.3923e-05,1.3923e-05
bloom,100,contains,8.380000000000001e-07,5.358e-06,5.358e-06
bloom,100,contains,8.74e-07,7.831e-06,7.831e-06
bloom,100,contains,7.84e-07,4.507e-06,4.507e-06
bloom,100,contains,8.26e-07,5.4860000000000005e-06,5.4860000000000005e-06
bloom,100,contains,8.650000000000001e-07,6.401e-06,6.401e-06
bloom,500,add,2.886e-06,2.0251e-05,2.0251e-05
bloom,500,add,2.666e-06,1.8589e-05,1.8589e-05
bloom,500,add,2.3890000000000003e-06,1.7083000000000002e-05,1.7083000000000002e-05
bloom,500,add,2.33e-06,1.6912e-05,1.6912e-05
bloom,500,add,2.6370000000000003e-06,1.9450000000000002e-05,1.9450000000000002e-05
